"title","artist"
"Still Ballin' - Nitty Remix","2Pac"
"Alalá da pena","Fuxan Os Ventos"
"Bailaora","DELLAFUENTE"
"Dancin In The Garage","Sweely"
"Dale Baile Baile","Chris Paradise"
"Places Like This","Marcel Dettmann"
"Massive","Drake"
"Maldito Flow - Euro Remix","Kalimete"
"Atmosphere","FISHER"
"Guess Who's Back","Rakim"
"Grid Iron Rap","Method Man"
"I've Got A Feeling","Jessica Pratt"
"You Can Do It","Ice Cube"
"Idilios","Grupo Idilio"
"Intentions","Jay de Lys"
"En Barranquilla Me Quedo","Joe Arroyo"
"La Noche Mas Linda","La Organización"
"lavande","Ethan Élgar"
"Ones N' Twos","4Mr Frank White"
"The Interview","The Smashing Pumpkins"
"Sofisticate","Sofisticate Dreams"
"Suspicion","The Originals"
"Still Po' Pimpin'","Do Or Die"
"Sinanon Saran (Chant de griot)","Jordi Savall"
"Aftermath","Kokane"
"Fake Friends - Extended","Trace"
"Ven bailar Carmiña","Radio Cos"
"Abusadora","Wilfrido Vargas"
"Who Dares To Believe In Me - Extended Mix","Marco Lys"
"La Cátedra","Residente"
"Bring Me Sunshine - Theme from the TV Series ''Morecambe & Wise''","Morecambe & Wise"
"You Used To Hold Me - Spiritchaser Remix","Ralphi Rosario"